sucursal,producto,semana,y_real,probabilidad,magnitud,umbral,y_pred,Modelo
3,LOSARTAN 50MG,2026-01-18,0.0,0.1522426,1.4117473,0.5,0.0,TwoStage
3,METFORMINA 850MG,2026-01-18,3.0,0.14209409,1.4307345,0.5,0.0,TwoStage
3,PARACETAMOL 500MG,2026-01-18,0.0,0.08409772,1.3993268,0.5,0.0,TwoStage
3,VITAMINA C+ZINC+D3,2026-01-18,1.0,0.53107035,2.076322,0.5,2.076322,TwoStage
4,AMOXICILINA 500MG,2026-01-18,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
4,AZITROMICINA 500MG,2026-01-18,0.0,0.023656232,1.2971951,0.5,0.0,TwoStage
4,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.014772549,1.2971951,0.5,0.0,TwoStage
4,ENALAPRIL 10MG,2026-01-18,0.0,0.14236718,1.1934738,0.5,0.0,TwoStage
4,IBUPROFENO TABX800,2026-01-18,0.0,0.012120696,1.2971951,0.5,0.0,TwoStage
4,LOPERAMIDA 2MG,2026-01-18,0.0,0.015448096,1.2971951,0.5,0.0,TwoStage
4,METFORMINA 850MG,2026-01-18,0.0,0.051073838,1.3203336,0.5,0.0,TwoStage
4,VITAMINA C+ZINC+D3,2026-01-18,2.0,0.54767454,1.9253479,0.5,1.9253479,TwoStage
5,AMOXICILINA 500MG,2026-01-18,0.0,0.033239517,1.3864012,0.5,0.0,TwoStage
5,AZITROMICINA 500MG,2026-01-18,0.0,0.026335178,1.3864012,0.5,0.0,TwoStage
5,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.044654142,1.3864012,0.5,0.0,TwoStage
5,ENALAPRIL 10MG,2026-01-18,0.0,0.19397858,1.267582,0.5,0.0,TwoStage
5,IBUPROFENO TABX800,2026-01-18,0.0,0.013303593,1.3864012,0.5,0.0,TwoStage
5,METFORMINA 850MG,2026-01-18,0.0,0.10690436,1.4095397,0.5,0.0,TwoStage
5,PARACETAMOL 500MG,2026-01-18,0.0,0.18230873,1.4312259,0.5,0.0,TwoStage
5,VITAMINA C+ZINC+D3,2026-01-18,1.0,0.57471865,2.1253784,0.5,2.1253784,TwoStage
6,AMOXICILINA 500MG,2026-01-18,0.0,0.028456215,1.2054094,0.5,0.0,TwoStage
6,AZITROMICINA 500MG,2026-01-18,0.0,0.022522291,1.2054094,0.5,0.0,TwoStage
6,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.014772549,1.2054094,0.5,0.0,TwoStage
6,ENALAPRIL 10MG,2026-01-18,1.0,0.2493552,1.2544881,0.5,0.0,TwoStage
6,IBUPROFENO TABX800,2026-01-18,0.0,0.011533166,1.2054094,0.5,0.0,TwoStage
6,LOPERAMIDA 2MG,2026-01-18,0.0,0.014701686,1.2054094,0.5,0.0,TwoStage
6,METFORMINA 850MG,2026-01-18,0.0,0.048691206,1.2159127,0.5,0.0,TwoStage
6,VITAMINA C+ZINC+D3,2026-01-18,2.0,0.11481915,1.7002925,0.5,0.0,TwoStage
7,AMOXICILINA 500MG,2026-01-18,0.0,0.028610889,1.2320511,0.5,0.0,TwoStage
7,AZITROMICINA 500MG,2026-01-18,0.0,0.022645464,1.2320511,0.5,0.0,TwoStage
7,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.014135858,1.2320511,0.5,0.0,TwoStage
7,ENALAPRIL 10MG,2026-01-18,0.0,0.13136566,1.1283299,0.5,0.0,TwoStage
7,IBUPROFENO TABX800,2026-01-18,0.0,0.01176407,1.2320511,0.5,0.0,TwoStage
7,METFORMINA 850MG,2026-01-18,0.0,0.048950322,1.2551897,0.5,0.0,TwoStage
7,PARACETAMOL 500MG,2026-01-18,0.0,0.028610889,1.2320511,0.5,0.0,TwoStage
7,VITAMINA C+ZINC+D3,2026-01-18,1.0,0.11538749,1.7269341,0.5,0.0,TwoStage
8,AMOXICILINA 500MG,2026-01-18,0.0,0.017539697,1.2304857,0.5,0.0,TwoStage
8,AZITROMICINA 500MG,2026-01-18,0.0,0.014219036,1.2304857,0.5,0.0,TwoStage
8,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.008894297,1.2304857,0.5,0.0,TwoStage
8,ENALAPRIL 10MG,2026-01-18,0.0,0.08396989,1.139005,0.5,0.0,TwoStage
8,IBUPROFENO TABX800,2026-01-18,0.0,0.008603842,1.2304857,0.5,0.0,TwoStage
8,LOPERAMIDA 2MG,2026-01-18,0.0,0.009012816,1.2304857,0.5,0.0,TwoStage
8,METFORMINA 850MG,2026-01-18,0.0,0.07784895,1.2536242,0.5,0.0,TwoStage
8,PARACETAMOL 500MG,2026-01-18,0.0,0.017539697,1.2304857,0.5,0.0,TwoStage
8,VITAMINA C+ZINC+D3,2026-01-18,0.0,0.2733017,1.7084119,0.5,0.0,TwoStage
9,AMOXICILINA 500MG,2026-01-18,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
9,AZITROMICINA 500MG,2026-01-18,0.0,0.023656232,1.2971951,0.5,0.0,TwoStage
9,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.014772549,1.2971951,0.5,0.0,TwoStage
