sucursal,producto,Modelo,MAE,RMSE,R2,Observaciones,Series,Varianza_y_real,SST,Porcentaje_ceros_test,R2_estado,Advertencias,clasificacion_demanda,grupo_demanda,porcentaje_ceros
11,ENALAPRIL 10MG,Random Forest,0.3147686146000696,0.464915835006676,-0.051524650140320816,30,1,0.20555555555555555,6.166666666666666,86.66666666666667,definido,una_sola_serie,intermitente,mayor_intermitencia,92.70833333333334
11,ENALAPRIL 10MG,Regresión Lineal,0.2607603786482262,0.46339031131885416,-0.044635257090627656,30,1,0.20555555555555555,6.166666666666666,86.66666666666667,definido,una_sola_serie,intermitente,mayor_intermitencia,92.70833333333334
11,ENALAPRIL 10MG,XGBoost,0.25031087547540665,0.4550628358364681,-0.007426843803110872,30,1,0.20555555555555555,6.166666666666666,86.66666666666667,definido,una_sola_serie,intermitente,mayor_intermitencia,92.70833333333334
11,IBUPROFENO TABX800,ARIMA (Optimizado ADF/AIC),0.011230986920921933,0.011230986920921929,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.87640449438202
11,IBUPROFENO TABX800,Random Forest,0.007567348889726346,0.00817085213413312,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.87640449438202
11,IBUPROFENO TABX800,Regresión Lineal,0.0342832619081432,0.0358722299080059,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.87640449438202
11,IBUPROFENO TABX800,XGBoost,0.026255208998918533,0.026255208998918533,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.87640449438202
11,METFORMINA 850MG,ARIMA (Optimizado ADF/AIC),0.10904887139545588,0.19319600350290694,-0.046527046767770086,27,1,0.03566529492455418,0.962962962962963,96.29629629629629,definido,una_sola_serie,intermitente,mayor_intermitencia,93.33333333333333
11,METFORMINA 850MG,Random Forest,0.15146584322633996,0.2329640709372573,-0.5217106282862976,27,1,0.03566529492455418,0.962962962962963,96.29629629629629,definido,una_sola_serie,intermitente,mayor_intermitencia,93.33333333333333
11,METFORMINA 850MG,Regresión Lineal,0.08242906881730581,0.19017411376349072,-0.014044426724481696,27,1,0.03566529492455418,0.962962962962963,96.29629629629629,definido,una_sola_serie,intermitente,mayor_intermitencia,93.33333333333333
11,METFORMINA 850MG,XGBoost,0.09988468029984722,0.19214988349390932,-0.03522423703003885,27,1,0.03566529492455418,0.962962962962963,96.29629629629629,definido,una_sola_serie,intermitente,mayor_intermitencia,93.33333333333333
11,PARACETAMOL 500MG,ARIMA (Optimizado ADF/AIC),0.046385209604741504,0.19076454854125133,-0.020350821635672256,27,1,0.03566529492455418,0.9629629629629629,96.29629629629629,definido,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.98989898989899
11,PARACETAMOL 500MG,Random Forest,0.06636544173213117,0.19653166373833722,-0.08297702103585403,27,1,0.03566529492455418,0.9629629629629629,96.29629629629629,definido,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.98989898989899
11,PARACETAMOL 500MG,Regresión Lineal,0.06340279370321546,0.20136242834266432,-0.13687066471276244,27,1,0.03566529492455418,0.9629629629629629,96.29629629629629,definido,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.98989898989899
11,PARACETAMOL 500MG,XGBoost,0.0724261194743492,0.1919794391159262,-0.033388483713101325,27,1,0.03566529492455418,0.9629629629629629,96.29629629629629,definido,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.98989898989899
