sucursal,producto,ADI,CV2,porcentaje_ceros,clasificacion_demanda,grupo_demanda,n_semanas,n_semanas_demanda_positiva,media_demanda_positiva,desviacion_demanda_positiva,periodo_clasificacion,inicio_train,fin_train,CV2_estimable,intervalo_ceros,en_poblacion_comun
9,AZITROMICINA 500MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
9,CETIRIZINA 10MG,16.166666666666668,0.37500000000000006,93.81443298969072,intermitente,mayor_intermitencia,97,6,1.3333333333333333,0.816496580927726,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
9,DIMENHIDRINATO 50MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,70,0,,,TRAIN anterior a 2026-01-01,2024-09-01,2025-12-28,False,Q3,True
9,ENALAPRIL 10MG,8.666666666666666,0.0,88.46153846153845,intermitente,mayor_intermitencia,104,12,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
9,IBUPROFENO TABX800,,,100.0,sin_demanda_positiva,sin_demanda_positiva,103,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-21,False,,False
9,LOPERAMIDA 2MG,,,,sin_historia_train,sin_historia_train,0,0,,,TRAIN anterior a 2026-01-01,,,False,,False
9,LORATADINA 10MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,95,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-10-26,False,,False
9,LOSARTAN 50MG,6.0,0.0,83.33333333333334,intermitente,mayor_intermitencia,96,16,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-02,True,,False
9,METFORMINA 850MG,11.222222222222221,0.2988281250000001,91.0891089108911,intermitente,mayor_intermitencia,101,9,1.7777777777777777,0.9718253158075502,TRAIN anterior a 2026-01-01,2024-01-28,2025-12-28,True,Q2,True
9,NAPROXENO TABX550MG,13.857142857142858,0.0,92.78350515463917,intermitente,mayor_intermitencia,97,7,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
9,OMEPRAZOL 20MG,48.0,,97.91666666666666,positivas_insuficientes,mayor_intermitencia,48,1,1.0,,TRAIN anterior a 2026-01-01,2024-08-25,2025-07-20,False,,False
9,PARACETAMOL 500MG,20.8,0.0,95.1923076923077,intermitente,mayor_intermitencia,104,5,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q2,True
9,VITAMINA C+ZINC+D3,3.433333333333333,0.2451564721595886,70.87378640776699,intermitente,mayor_intermitencia,103,30,1.6333333333333333,0.8087168778415268,TRAIN anterior a 2026-01-01,2024-01-14,2025-12-28,True,Q1,True
10,AMOXICILINA 500MG,39.0,0.0,97.43589743589743,intermitente,mayor_intermitencia,78,2,1.0,0.0,TRAIN anterior a 2026-01-01,2024-07-07,2025-12-28,True,Q3,True
10,AZITROMICINA 500MG,26.0,0.0,96.15384615384616,intermitente,mayor_intermitencia,104,4,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q2,True
10,CETIRIZINA 10MG,13.857142857142858,0.10937500000000001,92.78350515463917,intermitente,mayor_intermitencia,97,7,1.1428571428571428,0.37796447300922725,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
10,DIMENHIDRINATO 50MG,100.0,,99.0,positivas_insuficientes,mayor_intermitencia,100,1,1.0,,TRAIN anterior a 2026-01-01,2024-02-04,2025-12-28,False,Q3,True
10,ENALAPRIL 10MG,4.0,0.03566529492455417,75.0,intermitente,mayor_intermitencia,104,26,1.0384615384615385,0.19611613513818402,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
10,IBUPROFENO TABX800,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
10,LOPERAMIDA 2MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,5,0,,,TRAIN anterior a 2026-01-01,2025-11-30,2025-12-28,False,,False
10,LORATADINA 10MG,96.0,,98.95833333333334,positivas_insuficientes,mayor_intermitencia,96,1,1.0,,TRAIN anterior a 2026-01-01,2024-01-14,2025-11-09,False,,False
10,LOSARTAN 50MG,6.466666666666667,0.20761245674740492,84.5360824742268,intermitente,mayor_intermitencia,97,15,1.1333333333333333,0.5163977794943223,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
10,METFORMINA 850MG,11.444444444444445,0.09000000000000002,91.2621359223301,intermitente,mayor_intermitencia,103,9,1.1111111111111112,0.33333333333333337,TRAIN anterior a 2026-01-01,2024-01-14,2025-12-28,True,Q2,True
