codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion,producto,categoria_abc,dia
102721,LOSARTAN 50MG CJAX100TAB,PERUFARMA GENERICO,1.0,0.0,20.0,2024-05-31 10:29:43,5,5,Otoño,LOSARTAN 50MG,Clase B (Rotación Media),2024-05-31
102721,LOSARTAN 50MG CJAX100TAB,PERUFARMA GENERICO,-1.0,0.0,-20.0,2024-05-31 12:00:00,5,5,Otoño,LOSARTAN 50MG,Clase B (Rotación Media),2024-05-31
100018,METFORMINA 850MG CJAX30TAB,GENFAR,2.0,0.0,18.0,2024-05-31 10:27:19,5,5,Otoño,METFORMINA 850MG,Clase B (Rotación Media),2024-05-31
100018,METFORMINA 850MG CJAX30TAB,GENFAR,-2.0,0.0,-18.0,2024-05-31 12:00:00,5,5,Otoño,METFORMINA 850MG,Clase B (Rotación Media),2024-05-31
102759,NAPROXENO 550MG TAB CJAX100UND,PERUFARMA GENERICO,1.0,0.0,33.3,2024-07-14 11:45:57,5,7,Invierno,NAPROXENO TABX550MG,Clase C (Baja Rotación),2024-07-14
102759,NAPROXENO 550MG TAB CJAX100UND,PERUFARMA GENERICO,1.0,0.0,33.3,2024-07-14 11:54:25,5,7,Invierno,NAPROXENO TABX550MG,Clase C (Baja Rotación),2024-07-14
102759,NAPROXENO 550MG TAB CJAX100UND,PERUFARMA GENERICO,-1.0,0.0,-33.3,2024-07-14 12:00:00,5,7,Invierno,NAPROXENO TABX550MG,Clase C (Baja Rotación),2024-07-14
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,-2.0,0.0,-31.0,2024-03-25 12:00:00,5,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-03-25
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,2.0,0.0,31.0,2024-03-25 18:31:57,5,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-03-25
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,-1.0,0.0,-15.5,2024-04-23 12:00:00,5,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-04-23
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,1.0,0.0,15.5,2024-04-23 12:35:39,5,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-04-23
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,1.0,0.0,15.5,2024-04-23 12:39:42,5,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-04-23
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,2.0,0.0,30.4,2025-04-10 11:57:13,5,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-04-10
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-04-10 12:00:00,5,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-04-10
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,1.0,0.0,15.2,2025-04-10 12:06:05,5,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-04-10
100018,METFORMINA 850MG CJAX30TAB,GENFAR,1.0,0.0,12.0,2024-03-08 09:45:19,6,3,Otoño,METFORMINA 850MG,Clase B (Rotación Media),2024-03-08
100018,METFORMINA 850MG CJAX30TAB,GENFAR,-1.0,0.0,-12.0,2024-03-08 12:00:00,6,3,Otoño,METFORMINA 850MG,Clase B (Rotación Media),2024-03-08
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,1.0,0.0,15.5,2024-03-14 10:05:59,6,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-03-14
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,1.0,0.0,15.5,2024-03-14 10:07:43,6,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-03-14
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,-1.0,0.0,-15.5,2024-03-14 12:00:00,6,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-03-14
100018,METFORMINA 850MG TAB CJAX30UND,GENFAR,1.0,0.0,10.0,2026-07-30 08:58:58,7,7,Invierno,METFORMINA 850MG,Clase B (Rotación Media),2026-07-30
100018,METFORMINA 850MG TAB CJAX30UND,GENFAR,-1.0,0.0,-10.0,2026-07-30 09:36:13,7,7,Invierno,METFORMINA 850MG,Clase B (Rotación Media),2026-07-30
108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,-1.0,0.0,-30.0,2024-10-24 12:00:00,9,10,Primavera,AMOXICILINA 500MG,Clase C (Baja Rotación),2024-10-24
